Use Case ID,Agency,Component,Use Case Name,Summary of Use Case,Is the Use Case Currently Active?,Stage of System Development Life Cycle,Use Case Topic Area,Use Case Topic Area (If Other),Is the use case using Face Recognition / Face Capture Technology?,Is the AI use case found on the list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Is the Use Case Rights-Impacting?,Presumed Rights-Impacting Category,Is the Use Case Safety-Impacting?,Presumed Safety-Impacting Category,Provide the CAIO Determination Justification if the Use Case does not satisfy the definition of a Safety or Rights Impacting Use Case.,Date Initiated,Date when Development and/or Acquisition began,Date Deployed into Operations,Retired Date,Was the AI system involved in this use case developed (or is it to be developed) under contract(s) or in-house?,Provide the Procurement Instrument Identifier(s) (PIID) of the contract(s) used.,Is this AI use case supporting a High-Impact Service Provider (HISP) public-facing service?,Which HISP is the AI use case supporting?,Which public-facing service is the AI use case supporting?,Does this AI use case disseminate information to the public?,"How is the agency ensuring compliance with Information Quality Act guidelines, if applicable?",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,Has the Senior Agency Official for Privacy (SAOP) assessed the privacy risks associated with this AI use case?,Do you have access to an enterprise data catalog or agency-wide data repository that enables you to identify whether or not the necessary datasets exist and are ready to develop your use case?,"If Other, please explain.","Describe any agency-owned data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.",Is there available documentation for the model training and evaluation data that demonstrates the degree to which it is appropriate to be used in analysis or for making predictions?,"Which, if any, demographic variables does the AI use case explicitly use as model features?","If Other, Please Explain",Does this project include custom-developed code?,Does the agency have access to the code associated with the AI use case?,"If the code is open-source, provide the link for the publicly available source code.",Does this AI use case have an associated Authority to Operate (ATO) for an AI system?,ATO System Name,How long have you waited for the necessary developer tools to implement the AI use case? ,"For this AI use case, is the required IT infrastructure provisioned via a centralized intake form or process inside the agency?","If Other, please explain.",Do you have a process in place to request access to computing resources for model training and development of the AI involved in this use case?,"If Other, please explain.",Has communication regarding the provisioning of your requested resources been timely?,"If Other, please explain.","How are existing data science tools, libraries, data products, and internally-developed AI infrastructure being re-used for the current AI use case?","Has information regarding the AI use case, including performance metrics and intended use of the model, been made available for review and feedback within the agency?",Has your agency requested an extension to implement the minimum risk management practices for this AI use case?,Has an AI impact assessment been conducted for this AI use case?,Has the AI use case been tested in operational or real-world environments to understand the performance and impact it may have on affected individuals or communities?,What are the key risks from using the AI for this particular use case and how were they identified?,Has an independent evaluation of the AI use case been conducted?,Is there a process to monitor performance of the AI system’s functionality and changes to its impact on rights or safety as part of the post-deployment plan for the AI use case?,"For this particular use case, can the AI carry out a decision or action without direct human involvement that could result in a significant impact on rights or safety?","If Other, please explain.",How is the agency providing reasonable and timely notice regarding the use of AI when people interact with an AI-enabled service as a result of this AI use case?,"If Other, please explain.",Is the AI used to significantly influence or inform decisions or actions that could have an adverse or negative impact on specific individuals or groups?,What steps has the agency taken to detect and mitigate significant disparities in the model’s performance across demographic groups for this AI use case?,What steps has the agency taken to consult and incorporate feedback from groups affected by this AI use case?,"If Other, Please Explain.",Is there an established fallback and escalation process for this AI use case in the event that an impacted individual or group would like to appeal or contest the AI system’s outcome?,Is there an established fallback and escalation process for this AI use case in the event that an impacted individual or group would like to appeal or contest the AI system’s outcome?,"If No, please explain.","Where practicable and consistent with applicable law and governmentwide policy, is there an established mechanism for individuals to opt-out from the AI functionality in favor of a human alternative?","If Other, please explain.",Contact Name,Contact Email Address
DHS-2414,DHS,CBP,3rd Party Traveler Identity Verification Services,"3rd Party Traveler Identity Verification Services is part of CBP’s Traveler Verification Service (TVS), a biometric system leveraging facial recognition technology (FRT). This system confirms traveler identities at various exit points, including airports, seaports, and land borders, as part of CBP’s Biometric Exit Program.  These services operate under strict privacy guidelines to protect travelers’ personal information, aligning with CBP’s mission of balancing security and convenience., The TVS Biometric Air Exit solution is a cloud-based facial biometric matching service that enables CBP, External Partners, and Other Government Agencies (OGA) to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification, Leverages DHS facial matching technologies to provide a match or no match response.",Active,Operation and Maintenance,Law & Justice,,"Yes.  All Face Recognition and Face Capture (FR/FC) technology is tested both prior to operational use and at least every three years during operational use. DHS Science and Technology (S&T) oversees testing and evaluation based on International Organization for Standardization/ International Electrotechnical Commission (ISO/IEC) standards and technical guidance issued by National Institute of Standards and Technology (NIST). DHS S&T applies laboratory, scenario, and operational testing to cost-effectively characterize technology performance and, when feasible, disaggregate performance by user demographics such as gender, age, and skin tone.  ",No,"The TVS Biometric Air Exit solution is a cloud-based facial biometric matching service that enables CBP, External Partners, and Other Government Agencies (OGA) to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification.
","Leverages DHS facial matching technologies to provide a match or no match response.
",Yes,Biometric Identification,No,,Not Required,04/01/2013,12/01/2015,05/01/2017,,Developed with contracting resources,024-000005265,No,,,No,,Yes,Yes,Yes,,Border Crossing Information.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups.",None,,Yes,"Yes - agency has access to source code, but it is not public",,Yes,Traveler Verification Service,Less than 6 months,No,,No,,Yes,,None,Documentation has been developed,No - Agency did not request an extension for this use case,Yes,Performance evaluation in operational environment,This AI system has been tested in operational or real-world environments and risks have been identified and mitigated. Information about risks and mitigations for this use case may be law enforcement sensitive; DHS continues to review details for potential future disclosure in accordance with applicable law and policy.,Yes - by the CAIO,Intermittent and Manually Updated,No - Some individual decisions or actions require direct human oversight.,,"Online - in the terms or instructions for the service.,In-person,Other","Online - in the terms or instructions for the service.,In-person,Other",Facial matching and privacy notices are posted where facial recognition technology is in use.,No,The threshold for the biometric matching was tested extensively with a variety of face types for several months to establish a match threshold for the identification.,"Direct user testing,General solicitations of comments from the public",,Yes,,Yes,,DHS AI,ai@hq.dhs.gov
DHS-314,DHS,CBP,Advance RPM Maintenance Operating Reporter (ARMOR),"Utilizing AI and physical modeling, the Advance Radiation Portal Monitor (RPM) Maintenance Operating Reporter (ARMOR) project provides predictive maintenance of RPMs, detecting issues with the equipment before the issue causes the screening lane to be inoperable. The system will provide a listing of malfunctioning RPMs categorized by issue severity and predicted date of failure, which will be used to create service tickets. ARMOR will shorten time to service/repair/maintenance of RPMs by two weeks. ARMOR will allow better distribution of resources (travel, spare parts, etc.) with a potential cost decrease of 25-50%. Through decreased outage time, and prediction of equipment degradation, ARMOR will increase radiological/nuclear (R/N) security on U.S. borders. ",Active,Acquisition and/or Development,Mission-Enabling (internal agency support),,No,No,"ARMOR will shorten time to service/repair/maintenance of radiation portal monitors by two weeks. ARMOR will allow better distribution of resources (travel, spare parts, etc.) and expected cost decrease could be 25-50%. Through decreased outage time, and prediction of equipment degradation, ARMOR will increase radiological/nuclear (R/N) security on US borders.",The system will provide a listing of malfunctioning RPMs categorized by issue severity and predicted date of failure. The outputs will be used to create service tickets.,No,,Yes,,,10/01/2021,10/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-313,DHS,CBP,Advanced Analytics for X-ray Images (AAXI),"Advanced Analytics for X-ray Images (AAXI) aims to address the problem of anomaly detection in empty commercial vehicles entering the U.S. at land border ports of entry. The AI models achieve this goal by encoding past x-ray images of vehicular border crossings in a semantically meaningful way and comparing the current crossing to detect differences amongst the images to identify anomalies. The system produces bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained. Benefits include enhancement of the capability of humans to consistently detect items of interest/concern present (and possibly concealed) in vehicles crossing into the United States, and increased clearance rate at border crossings so that vehicles operating safely and lawfully may pass through the border faster. ",Active,Acquisition and/or Development,Law & Justice,,No,No,"AAXI aims to address the problem of anomaly detection in empty commercial vehicles entering the United States at land border ports of entry. The AI models achieve this goal by encoding past X-Ray images of vehicular border crossings in a semantically meaningful way and comparing the current crossing to detect differences amongst the images to identify anomalies. Benefits include enhancement of the capability of humans to consistently detect items of interest/concern present (and possibly concealed) in vehicles crossing into the United States, and increased clearance rate at border crossings so that vehicles operating safely and lawfully may pass through the border faster.",AAXI produces bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,Yes,Law Enforcement,No,,Not Required,01/01/2022,06/01/2022,,,Developed with contracting resources,IAA with S&T,No,,,,,,,No,,NII Images,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",None,,,,,No,,,,,,,Yes,,None,Limited documentation for review,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-162,DHS,CBP,Agent Portable Surveillance,"The agent portable surveillance system is a backpack mobile unit meant for single agent deployments. The system identifies border activities of interest by using AI/ML to analyze data from Electro-Optical/Infra-Red cameras and radar. When an activity is detected, the system sends the information to agents through the Team Awareness Kit (TAK). Detections are shared with CBP TAK users to enhance efficiency and agent/officer safety.",Inactive (no longer used),Disposal/Retired,,,,No,"This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.","This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.",,,,,,,,,10/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-86,DHS,CBP,Agriculture Commodity Model (AGC) Model,"Agriculture Programs and Trade Liaisons (APTL) use AGC to leverage statistical sampling and supervised AI/ML models for risk-based inspection of selected agricultural commodities. The AGC Model maximizes CBP’s limited resources by prioritizing inspection of containers deemed high-risk. The AI output is a predicted risk result level for cargo shipments to identify agricultural pest risk. The predicted risk is integrated into the Automated Targeting System (ATS) - Import Cargo and utilized in APTL’s targeting workflow for agriculture pest risk analysis. If a cargo shipment is identified as high-risk for pest infestation, it is prioritized for inspection. ",Active,Operation and Maintenance,Law & Justice,,No,No,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-31,DHS,CBP,AI Curated Synthetic Data,"AI Curated Synthetic Data creates synthetic data for computer vision to enable more capable and ethical AI when detecting anomalies in complex environments.  Specifically, it creates an emulated X-ray sensor that can produce visually realistic synthetic X-ray scan images similar to real X-ray scan images, and virtual 3D assets of vehicles and narcotics containers. These images will be used to enhance the development of Anomaly Detection Algorithms for Non-Intrusive Inspection (NII), incorporating Artificial Intelligence/Machine Learning (AI/ML) for the detection of narcotics and other contraband in conveyances and cargo. The availability of rare event/outlier data or labeled data that can be used to train and automate detection is severely limited. The technology enhances available libraries of true positives and normal scans from CBP NII systems and supports development of Automated Threat Recognition (ATR) algorithms designed to quickly identify items of interest. Through the technology, the end user will have access to enhance existing, deployed algorithms to increase detection performance. ",Inactive (research and development only). This use case was reported in a previous version of the DHS AI Use Case Inventory but is a research and development use case that is not planned to be deployed.,Disposal/Retired,Mission-Enabling (internal agency support),,,No,The availability of rare event/outlier data or labeled data that can be used to train and automate detection is severely limited. The technology enhances available libraries of true positives and normal scans from CBP Non-Intrusive Inspection (NII) systems and supports development of Automated Threat Recognition (ATR) algorithms designed to quickly identify items of interest.,"Through the technology the end user will have access to enhance existing, deployed algorithms to increase detection performance.",,,,,,10/01/2022,,,10/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-194,DHS,CBP,AI Enabled Autonomous Underwater Vehicle,"Advanced sonar, navigation, and communications system subsea vehicle is a fully integrated, hand-portable, low detection threshold system that has the small footprint and maneuverability to inspect underwater infrastructure.  It integrates Doppler Velocity Log (DVL), Ultra-Short Baseline (USBL), Inertial Navigation System (INS), and acoustic and optical modems. This enables highly reliable, fully autonomous underwater missions and provides obstacle detection and collision avoidance.  The system will be developed to assist in the detection of parasitic smuggling attempts on the outer hull of maritime vessels. Office of Field Operations (OFO) has identified significant potential for smuggling of narcotics attached to the outer hull of marine vessels entering and exiting ports of entry. The current identification method is using dive teams or borrowing larger Remotely Operated Vehicle (ROV) units from Local, State, or Federal partners. Through autonomous systems, OFO can more efficiently and safely identify anomalies/items of interest.  The technology allows for increased shared situational awareness in real time for OFO and strategic partners and improves mission planning and agent and officer safety, while reducing reactionary gaps. ",Active,Initiated,Law & Justice,,No,No,"Customs and Border Patrol (CBP) Office of Field Operations (OFO) has identified significant potential for parasitic loads on vessels entering and exiting ports of entry. The current identification method is using dive teams or borrowing larger ROV units from Local, State, or Federal partners. Through autonomous systems, OFO can more efficiently and safely identify anomalies/items of interest. 
","This AI helps a small submarine drone detect possible contraband or safety risks to prioritize additional checks by human divers.


The technology allows for increased shared situational awareness in real time for OFO and strategic partners and improves mission planning and agent and officer safety, while reducing reactionary gaps. 
[this needs to be more clear about the ai system outputs - is the ai outputting suspected loads indicators? imagery? the closed loop fully autonomous navigation implies other self-looping outputs for navigation on obstacles and currents, are there any others?]","No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,01/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-P2,DHS,CBP,AI for Autonomous Situational Awareness,"The AI for Autonomous Situational Awareness System is intended to use Internet of Things IoT sensor kits to covertly detect and track illicit cross-border traffic in remote locations.  The system will leverage a motion image/video system enhanced with Artificial Intelligence that is capable of vehicle detection and direction determination. It will also incorporate a motion sensor that, when triggered, wakes up a high-resolution camera to capture a series of pictures, with additional sensors providing confirmation prior to camera capture. Images captured will be processed by Artificial Intelligence models to classify objects, determine vehicle direction at intersections, and provide imagery sufficient for re-identification. Ultimately, the system is intended to create a low footprint, low cost, low power system to provide situational awareness and covert detection., detection and identification of objects at or near the U.S. border, and possibly classification. ",Active,Initiated,Law & Justice,,No,No,"The AI for autonomous situational awareness system is intended to use IoT sensor kits to covertly detect and track illicit cross-border traffic in remote locations. The system will leverage a motion image/video system enhanced with Artificial Intelligence that is capable of vehicle detection and direction determination, to allow for more active monitoring of remote camera feeds that prompt operators to review the items of interest once detected.  This will reduce the overall operator burden of camera monitoring and allow users to accomplish other tasks or system management. 

","Detections of items of interest being displayed with bounding boxes around the IOI in the image frame and an initial determination of ""human, animal, vehicle""""","No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,10/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-2369,DHS,CBP,AI for Software Delivery,"The Automated Commercial Environment (ACE) is the system through which the trade community reports imports and exports, and the government determines admissibility. This system is developed and maintained by the Cargo Systems Program Directorate (CSPD) within the Office of Information Technology (OIT) in Customs and Border Protection (CBP). ACE is a large system consisting of hundreds of applications with new capabilities added regularly. CSPD is seeking to incorporate AI into the software delivery process to reduce delivery time as well as increase the quality and security of the ACE system. The initial use case is to integrate AI into the development process to assist developers with code reviews so that when a request to modify code in a baseline is made by a developer AI is integrated into the continuous integration pipeline to examine the code for potential problems and inefficiencies.  The AI model will identify coding errors and recommend fixes as well as make recommendations for improvement and optimization which the request reviewer will assess and determine what, if any, changes need to be made before the code is approved to go into the baseline. By reducing code review time and identifying potential issues earlier in the development CSPD expects to reduce the time to deliver changes and increase initial software quality. ",Active,Initiated,Mission-Enabling (internal agency support),,No,No,The initial use case is to integrate AI into the development process to assist developers with code reviews so that when a request to modify code in a baseline is made by a developer AI is integrated into the continuous integration pipeline to examine the code for potential problems and inefficiencies.  By reducing code review time and identifying potential issues earlier in the development CSPD expects to reduce the time to deliver changes and increase initial software quality.,"The AI model will identify coding errors and recommend fixes as well as make recommendations for improvement and optimization which the request reviewer will assess and determine what, if any, changes need to be made before the code is approved to go into the baseline.","No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,11/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-2362,DHS,CBP,AI/LLM to generate testable synthetic data,"he Automated Commercial Environment (ACE) is the system the trade community reports imports and exports, and the government determines admissibility. This system is developed and maintained by the Cargo Systems Program Directorate (CSPD) within the Office of Information Technology (OIT) in Customs and Border Protection (CBP). ACE is a large system consisting of hundreds of applications with new capabilities added regularly. CSPD is seeking to incorporate AI to generate more realistic synthetic data without Personally Identifiable Information (PII) for trade partners to utilize in testing new data formats and APIs before releasing new ACE capabilities.  By using synthetic data, the system does not risk any PII spillages. Currently, there are many data issues where test data does not accurately reflect real production data, which results in unrealistic failures when testing and wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data, the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker., The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.",Active,Initiated,Mission-Enabling (internal agency support),,No,No,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,11/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
