Use Case ID,Use Case Name,Agency,Component,Use Case Topic Area,Other (Use Case Topic Area),Is the AI use case found in the below list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
VA-36,Evolv WDS - OSSO,VA,VHA: Veterans Health Administration,Law & Justice,,Creating visual representations of data sets for reports and presentations using AI.,Using heat map technology to identify heat signature of known weapons.,Areas of interest for a heat map that include objects that would produce heat indicators aligned with heat signatures of known types of different weapons.,Operation and Maintenance,Both
VA-52,VA Chat Copilot Meta Pilot,VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,Improving the quality of written communications using AI tools.,Administrative efficiency for VA employees ,"Chat Copilot is a generative AI interface that allows users to upload documents and query the tool about those documents. Outputs can include draft emails, draft communications, document summaries, draft project templates, responses to questions about content of documents, etc.",Acquisition and/or Development,Neither
VA-77,Avigilon Camera/Search Function - OSSO,VA,VHA: Veterans Health Administration,Law & Justice,,Searching for information using AI.,A search function in a security video surveillance system that search's for points of interest in the video.,Video or picture of requested searches from the video surveillance systems.,Operation and Maintenance,Both
VA-93,CareCentra Next Level Personalized AI Health Coach,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"This is an evidence based, randomized control trialed AI solution that focuses on precision nudging.  It is intended to improve quality of care and reduce view alerts.  Its focus is on identifying personalized behavioral change algorithms for each veteran to identify timing, channel, ",,Implementation and Assessment,Neither
VA-118,SafePointe WDS - OSSO,VA,VHA: Veterans Health Administration,Law & Justice,,Creating visual representations of data sets for reports and presentations using AI.,Heat map detection for weapon detection software.,Areas of interest for a heat map that include objects that would produce heat indicators aligned with heat signatures of known types of different weapons.,Retired,Both
VA-1397,GE Xeleris ,VA,VHA: Veterans Health Administration,Health & Medical,,Creating visual representations of data sets for reports and presentations using AI.,Xeleris V leverages AI to accurately segment organs for quantitation and dosimetry calculations. Q.Thera AI demonstrated an average reduction of 58% in the time required for the user to process and calculate dose3.,Provide patient dosimetry calculations.,Operation and Maintenance,Both
VA-130,Genesys Cloud Contact Center,VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,Transcribing and summarizing a recorded meeting or interview using AI.,"Assist staff with knowledge based recommendations, conversation summarization and quality assurance metrics automation. This will allow the staff to react quicker to customer needs and spend less time researching for information or performing repetitive tasks and instead focus more on customer interactions.",Most of genesys outputs are surfacing knowledge to assist the staff with customers interactions or automating repetitive tasks such as scoring quality forms for those interactions or routing of customers upon discovered intents.,Acquisition and/or Development,Neither
VA-159,Verkada Camera - OSSO,VA,VHA: Veterans Health Administration,Law & Justice,,Searching for information using AI.,Video search function inside a physical security camera solution.,Video and images from the AI searches inside the physical security camera solutions.,Acquisition and/or Development,Both
VA-163,MRI - GE Signa Artist,VA,VHA: Veterans Health Administration,Health & Medical,,Creating visual representations of data sets for reports and presentations using AI.,"AIR™ Recon DL is a deep-learning-based reconstruction algorithm that enables radiologists to achieve pin-sharp images quicker. By removing noise and ringing from raw images, scans are consistently crisp. Improved signal-to-noise ratio (SNR) means scan times are cut by up to 50%, smoothing workflow and enhancing the patient experience",MRI image reconstruction.,Operation and Maintenance,Both
VA-171,Google Cloud Platform - CCAI / Dialogflow ,VA,OIT: Office of Information & Technology,Government Services (includes Benefits and Service Delivery),,None of the Above,to allow for better self service options to veterans to include virtual voice/chat agents,the output of GCP voice/chat is text to speech (TTS) and speech to text (STT),Acquisition and/or Development,Neither
VA-200,Axon Body Camera and DMS - OSSO,VA,VHA: Veterans Health Administration,Law & Justice,,Searching for information using AI.,"To be able to search the data repository with better results, better redaction abilities for certain capabilities and on the Fleet System only to have better license plate recognition. ","To have better outputs in searching the systems data repository for case files, evidence locker, and DMS; to have a better result when doing the redaction of evidence, files, videos and photos; and on the Fleet system only to have better results in identifying licenses plates in the licenses plate recognition part of the system.",Operation and Maintenance,Both
VA-204,Ultrasound - GE Logic E10,VA,VHA: Veterans Health Administration,Health & Medical,,Creating visual representations of data sets for reports and presentations using AI.,"Auto Preset Assistant:
Automatically activates the correct preset for the anatomy being scanned

Auto Abdominal Color Assistant:
Detects which abdominal organ is being scanned, automatically switching to the optimal color flow parameters

Auto Renal Measure Assistant:
Automatically detects the kidney and measures the length, height, and width",Clinician decision support and workflow error reduction.,Operation and Maintenance,Both
VA-216,Smart AI Bot Assistant,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"A machine learning and natural language processing algorithm will be trained to provide real-time prompts of resources to improve the quality of crisis calls for the Veterans Crisis Line (VCL). Curated, vetted resources will be prompted by keywords for responders to consider during a crisis call. Natural language processing will be used to listen and document during and after the call, organizing the documentation to include topic areas and key points. This will decrease the time spent on documentation, improve the responder workflow, and provide needed downtime for responders to debrief with colleagues and take breaks. Additionally, the chat bot could detect the need for supervisory support during a call, improving real-time communication between a VCL responder and their supervisor. The use cases for the AI will be reviewed by VA experts and subject matter experts, with the draft use cases requiring technical steps to build, pilot test, and refine.","Smart Responder Chat Bot Use Case #1 – Real time resources for VCL responders   Using machine learning and natural language processing an algorithm will be trained based on feedback from the Veterans Crisis Line staff and crisis line responders to provide real-time prompts of resources to improve the quality of the crisis call. Curated, vetted resources will be prompted by key words for the responder to consider using during a crisis call.   Smart Responder Chat Bot Use Case #2 – AI documentation for VCL responders   To improve the time each Veterans Crisis Line responder spends on documentation during and after a crisis call, natural language processing will be used to listen and document during and after the call. The documentation will be organized to include the topic areas and key points required in documentation and provide a final draft editable by the responder. This use case will; decrease the time spent by responders on documentation, improve the responder workflow for VCL operations, and provide needed downtime away from both answering calls and documentation for responder to debrief with colleagues, accomplish other tasks and take necessary breaks to improve overall responder wellbeing.   Smart Responder Chat Bot Use Case #3 – AI for supervisory support during a call   Using machine learning and natural language processing including sentiment analysis, a chat bot could detect the need for a responder to seek supervisory support. Improving the real-time communication between a VCL responder and their supervisor during a call that is challenging (eg. Inappropriate language, escalating rapidly, etc.) could be a useful use case.",Initiated,Rights-impacting
VA-245,Radiology - Siemens YSIO Max,VA,VHA: Veterans Health Administration,Health & Medical,,Creating visual representations of data sets for reports and presentations using AI.,Bone supression: Supressess bones on digital images without the need for two exposures. Diamond View: improves image contrast and detail to improve image quality.,Increase radiology digital image quality.,Operation and Maintenance,Both
VA-257,Enterprise Precision Scanning and Indexing (EPSI) Next: Enhancing Healthcare Services for Veterans,VA,VHA: Veterans Health Administration,Health & Medical,,Summarizing the key points of a lengthy report using AI.,Generative AI required for summarization and note creation.,The output generates a summary of the patient health record for the EPSI product indexer workflow.,Acquisition and/or Development,Neither
VA-294,Nursing Proficiency Coach & Nurse Proficiency Evaluator...and beyond!,VA,VHA: Veterans Health Administration,Education & Workforce,,None of the Above,"Two custom GPTs have been created: Nurse Proficiency Writer and Nursing Proficiency Coach.  A GS version is in development.  The Nurse GPTs are used to compare the nurse's self-input against 600+ functional statements and standards (externally accessible or approved by the Office of Nursing Service).  It evaluates the nurse's performance against the standards, reports on positive findings, identifies weak areas, provides an estimated rating, and grade assessment.  The interactive GPT allows nurses to have a dialog to better understand how their practice can be improved.   Many of our 90,000+ RNs are not proficient in understanding the standards nor adept in writing performance reports. This leads to end-user frustration, quality issues with content, submission gaps compared to the standard, interrater reliability variances, and a host of other challenges with the our current process. The tool aids the nurses in developing the content for their ePerformance submission.  No PHI is allowed in nursing proficiencies (by standard), and PHII is scrubbed prior to submission by the nurse. ","
The output takes the nurse's input and returns a summary of each practice dimension and positive accomplishments offering suggestions where the nurse can improve.  The tool can help the nurse in generating a written summary for ePerformance submission.  This is a tremendous time saver and improves the quality of their submission.  Most importantly, the Custom GPT does not impact the staff rating.  It is a tool is designed to help the nurse.  The nurse is ultimately responsible for the content and final submission (data accuracy and validity), and the proficiency evaluations are the responsibility of the Supervisor with knowledge regarding the staffs performance.  The improvment in content can greatly assist the Supervisor in their evaluation process (win-win).      
",Implementation and Assessment,Neither
VA-372,Parable 3D Wound Care Management System,VA,VHA: Veterans Health Administration,Health & Medical,,Creating visual representations of data sets for reports and presentations using AI.,"Traditional wound care methods call for hand measurements to be taken of the patients wound, increasing imprecision that comes with manual measurements, along with the increased contact with the wound and potential for infection. Parable 3D Wound Care Management System aims to automate the process of wound care by using traditional computer vision based volumetric measurements to capture images of the wound and create 3D polygon mesh representation of said wound. The main benefit of the system is the automated, contactless measurements that will reduce vectors for infection and alleviate the difficulty, imprecision, and variability of manual measurements. This allows the clinicians to spend more time on patient care, analyzing wounds, and encourage proper healing for the patient.","2D and 3D volumetric measurements are computed based on the segmented 3D reconstruction to produce length, width, surface area, depth, and volume measurements.",Operation and Maintenance,Both
VA-380,VEO Virtual Analyst Proof of Concept,VA,OIT: Office of Information & Technology,Government Services (includes Benefits and Service Delivery),,Searching for information using AI.,The AIDV Dev/Test environment will provide a proof of concept to provide generative AI capabilities in CX Insights and SDP. This will show capability to allow users to intuitively and easily work with dummy data and provide a sandbox to develop generative AI tools. The development of Virtual Analyst tool will provide value to the veteran by using generative AI to predict and improve services to the veteran.,Outputs will include data-informed English-language responses to English-language questions asked about VEO machine learning models and customer experience metrics. These outputs will be informed by dummy versions of these data.,Acquisition and/or Development,Neither
VA-413,GE Portable Critical Care Suite 2.x,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183182.pdf).,Operation and Maintenance,Both
VA-421,Patient Care Systems Integration Program (PCSIP),VA,VHA: Veterans Health Administration,Health & Medical,,Transcribing and summarizing a recorded meeting or interview using AI.,"The PCSIP AI is intended to improve the access to care for Veterans by increasing capacity of VAMCs up to 20% without adding more staff or resources. 
The expected benefits of the AI are listed below. 
(1) Between 20% to 50% reduction in charting time. 
(2) Reduced cancellations/delays/no-shows between 5% and 40% depending on type of appointment of patient. 
(3) Between 5% and 20% increase in number of scheduled cases in surgery, primary care, radiology, behavioral health, and specialty care.
(4) Between 5% and 20% improvement in Door-to-Doc times and Length of Stay in Emergency Department.
(5) Between 5% and 20% improvement in patient flow between ED and Wards; and between Surgery and Wards.
","All outputs listed below are written to patient record in Vista/CPRS and Cerner after review by care providers and electronic signature by them. 1. Ambient Dictation and AI generates,       a. ED Triage Note,        b. ED Evaluation Note,        c. Columbia SSRS,        d. After Visit Summary,        e. Follow up appointment note,        f. Patient Letter       g. Care Pathway Mapping for generating list of diagnostic orders, medication orders etc. 2. Radiology        a. Resulting Note in MRI, CT, Ultrasound, X-Ray, and others.       b. Protocoling by Radiologist and Technologist notes written to Vista  3. Surgery       a. Scheduling optimization       b. Preop readiness checks and reports       c. Preop Instruction Compliance       d. Discharge Instruction Compliance       e. ERAS protocol compliance 4. Behavioral Health       a. Generation of Columbia-SSRS and Comprehensive SSRS for suicide reduction       b. Video monitoring of mental health inpatients 5. Primary Care       a. Ambient Dictation driven note generation.       b. Outside records consolidation for Patient Summary extracted from faxes. 6. Instant availability of all the relevant patient information at the point of care based on schedule of the patient and location of the patient and care provider at the point of care.",Implementation and Assessment,Both
VA-462,Billing Claims Prediction,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The intended purpose of the AI is to support Revenue Operations Billing activities by providing a propensity to bill flag based on previous user activity in the Revenue Operations Workflow Tool. The output of the AI is strictly intended to be used for decision support for users who are determining whether an encounter is billable or not. ,"The model was trained on Third Party Community Care Billing and Facility Revenue Activity Codes 10, 30, 31, 32, 33, 34, 35 applied from 2021-2023. Initial run at Florida Caribbean Consolidated Patient Account Center (FCCPAC) was trained on 1.2 Million accounts. By training the model on previous activity data, an account can be classified as likely to have a billable or non-billable outcome.",Implementation and Assessment,Neither
