n_clusters,cluster_k,cluster_x,cluster_y,cluster_size,label_text,label_score
1,0,0.0,3.1833358e-07,719,grant information,0.4924
2,0,-0.5939865,0.48087403,432,grant information,0.4924
2,1,0.89408433,-0.72382355,287,documentation tasks,0.4944
3,0,-0.22480188,-0.58236974,386,annotation system,0.4763
3,1,-0.6313976,1.2254614,215,refugee resettlement,0.4456
3,2,1.885797,-0.32779035,118,captioning system,0.4822
4,0,-0.64338726,1.3897789,176,refugee resettlement,0.4456
4,1,0.17134663,-0.87100744,215,grants management,0.5032
4,2,1.9835806,-0.36024114,108,captioning system,0.4963
4,3,-0.6265002,-0.083764404,220,human reviewers,0.5074
5,0,0.07745554,-1.1849872,153,user assistant,0.5162
5,1,0.16915771,0.30990654,146,emergency inventory,0.4869
5,2,-0.7973994,-0.22001311,168,human reviewers,0.5074
5,3,1.9835806,-0.36024114,108,captioning system,0.4963
5,4,-0.81118953,1.4717026,144,refugee resettlement,0.4456
6,0,-0.1816237,-0.26469105,164,annotation system,0.4763
6,1,2.1812816,-0.27854863,80,medical imaging,0.4828
6,2,0.762366,-0.19610323,86,risk assessment,0.4117
6,3,0.198519,-1.5777262,92,assistance chatbot,0.567
6,4,-0.63691753,1.3679987,181,refugee resettlement,0.4456
6,5,-0.9763913,-0.17153956,116,extracting clinical,0.4468
7,0,-1.0749472,1.3873674,92,refugee resettlement,0.5185
7,1,0.33057645,-0.3377929,146,grants data,0.4852
7,2,-0.68093073,0.19158223,120,entity extraction,0.5072
7,3,2.0002196,-0.3605722,106,image duplications,0.4842
7,4,-0.16538413,1.4186485,81,inventory management,0.4511
7,5,0.045176145,-1.8925703,53,assistance chatbot,0.6215
7,6,-0.5675936,-0.6420935,121,hr documentation,0.4883
8,0,0.29050577,-0.20083866,136,grants data,0.4852
8,1,-0.23772466,1.4944087,86,ais service,0.5049
8,2,2.0262232,-0.27525797,100,image duplications,0.4842
8,3,-0.7470725,-0.5315717,105,hr documentation,0.4903
8,4,-0.6386279,0.27799466,107,emergency inventory,0.5217
8,5,0.146993,-1.3275112,96,documentation utilizing,0.4722
8,6,-1.1341771,1.3581988,80,refugee resettlement,0.5185
8,7,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
9,0,-0.7710901,-0.31554124,163,automated suggestions,0.4715
9,1,1.3647091,-0.23393664,37,captioning system,0.4963
9,2,-0.6126834,1.7575024,84,weapons detection,0.5241
9,3,0.1512467,-1.2414411,112,user assistant,0.5331
9,4,-0.09092354,0.84203017,64,emergency inventory,0.4281
9,5,0.24641985,-0.1196303,117,grants data,0.4867
9,6,-1.1726358,0.96771824,63,refugee resettlement,0.5185
9,7,2.2695918,-0.2933549,70,dose monitor,0.5282
9,8,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
10,0,0.9781227,-0.1148345,74,risk assessment,0.4117
10,1,-1.1799827,0.8612378,67,refugee resettlement,0.5185
10,2,-0.03673911,-0.598011,132,annotation system,0.4763
10,3,-0.63352036,1.7469888,87,security camera,0.5398
10,4,2.2604702,-0.29259902,71,dose monitor,0.5282
10,5,0.07877592,-1.7314188,67,assistance chatbot,0.567
10,6,-0.21528584,0.25167802,79,entity extraction,0.5072
10,7,0.002656488,1.0450083,39,inventory management,0.4511
10,8,-0.9445847,-0.365144,97,review system,0.4798
10,9,1.5668269,-1.782476,6,coronary intervention,0.4236
11,0,0.29816428,-0.030619306,94,inform funding,0.465
11,1,-1.1833822,1.0043448,59,refugee resettlement,0.5185
11,2,1.3647091,-0.23393664,37,captioning system,0.4963
11,3,0.010059266,-0.8072293,90,user assistant,0.5618
11,4,-0.09092354,0.84203017,64,emergency inventory,0.4281
11,5,0.2314913,-1.5957272,55,assistance chatbot,0.6215
11,6,2.2695918,-0.2933549,70,dose monitor,0.5282
11,7,-0.61680734,-0.3818045,95,human reviewers,0.5074
11,8,-0.6126834,1.7575024,84,weapons detection,0.5241
11,9,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
11,10,-1.0813152,-0.051551424,62,literature retrieval,0.463
12,0,-0.90826654,-0.6009024,57,review system,0.4798
12,1,2.2695918,-0.2933549,70,dose monitor,0.5282
12,2,-1.1897172,1.2038876,62,refugee resettlement,0.5185
12,3,0.16371301,0.16866809,75,inform funding,0.465
12,4,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
12,5,0.23008578,-1.5797644,57,assistance chatbot,0.567
12,6,-0.53656113,1.7659994,72,weapons detection,0.5241
12,7,-0.8643324,0.09342542,88,hiv data,0.486
12,8,0.482275,-0.44332683,47,bankruptcy bot,0.5301
12,9,-0.12715478,-0.70132947,97,documentation generation,0.5014
12,10,-0.077043444,0.9389745,51,emergency inventory,0.461
12,11,1.4072644,-0.23616365,34,captioning system,0.4963
13,0,-0.832138,-0.6368081,67,review system,0.5348
13,1,1.4937565,-0.19918881,36,captioning system,0.4963
13,2,-1.2132869,1.0848662,52,refugee resettlement,0.5185
13,3,-0.15446003,-0.13670163,80,inform funding,0.4891
13,4,0.011540293,-1.635304,43,assistance chatbot,0.6215
13,5,-0.08827104,0.8504692,63,emergency inventory,0.4281
13,6,0.14551027,-0.8026026,94,user assistant,0.5779
13,7,-0.6062533,1.7593523,83,weapons detection,0.5241
13,8,-0.9510198,0.09369863,73,hiv data,0.486
13,9,2.2886443,-0.31879377,66,dose monitor,0.5282
13,10,0.5615485,0.09014221,47,risk assessment,0.4117
13,11,1.5668269,-1.782476,6,coronary intervention,0.4236
13,12,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
14,0,1.4360726,-0.23988569,32,captioning system,0.4963
14,1,-0.17287663,0.5262469,52,emergency inventory,0.5217
14,2,-0.20075946,-0.8277851,49,user assistant,0.5618
14,3,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
14,4,-0.8752113,1.7390441,46,commodity detection,0.4416
14,5,-0.9523652,0.09878552,72,hiv data,0.486
14,6,0.46834254,-0.93902665,56,provides automated,0.5297
14,7,2.2695918,-0.2933549,70,dose monitor,0.5282
14,8,-0.14499794,-0.22850877,84,inform funding,0.4891
14,9,-0.9538459,-0.61841685,51,human reviewers,0.4426
14,10,0.007735227,-1.6448039,42,assistance chatbot,0.6215
14,11,-0.12198574,1.5092028,65,ais service,0.5049
14,12,-1.2145989,1.0746878,51,refugee resettlement,0.5185
14,13,0.63166875,0.065443344,40,risk assessment,0.4117
15,0,-0.31717676,-0.64019364,61,hr documentation,0.4883
15,1,-1.1703634,0.95501804,59,refugee resettlement,0.5185
15,2,2.2695918,-0.2933549,70,dose monitor,0.5282
15,3,1.0501627,-0.0724689,65,risk assessment,0.4117
15,4,0.022180954,-1.5397304,53,assistance chatbot,0.567
15,5,-0.34882975,-0.026016152,70,random forests,0.5195
15,6,-0.34063193,1.7415538,45,weapons detection,0.5241
15,7,-0.9904707,-0.6446408,45,literature screening,0.4328
15,8,-0.94732946,1.7528121,42,cbp biometric,0.4793
15,9,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
15,10,0.121355824,1.128296,27,business intelligence,0.5306
15,11,-1.1263598,-0.011118333,39,hiv data,0.505
15,12,1.5668269,-1.782476,6,coronary intervention,0.4236
15,13,0.27509776,-0.65286493,76,bankruptcy bot,0.5418
15,14,-0.13791612,0.5289508,52,emergency inventory,0.5217
16,0,0.42824033,0.13871627,50,random forests,0.4466
16,1,-1.2171732,1.0934656,51,refugee resettlement,0.5185
