2_use_case_name,summary_text
Non-Intrusive Inspection (NII) 3D Imaging Tool,"The Non-Intrusive Inspection (NII) 3D Imaging Tool leverages AI and machine learning to produce high-resolution images of concealed objects quickly and efficiently. It enhances existing inspection processes by generating 3D images without causing significant delays and introduces a new capability for detecting narcotics in packages, complete with alerts for items of interest."
Babel,"Babel is a tool utilized by CBP for conducting targeted queries in open source research to assess potential threats and identify travelers needing further inspection. It integrates AI modules for text detection, translation, and image recognition to streamline analysis, allowing analysts to review possible matches in a single interface. The tool aids in uncovering additional open source information and identifiers, which can help eliminate the need for further screening of travelers."
Fivecast ONYX,"Fivecast ONYX enhances the capability of Customs and Border Protection (CBP) to monitor and assess border security threats by processing extensive open-source data. The system aggregates information from various sources, including social media and the dark web, to identify potential risks and trends related to illegal activities, ultimately providing actionable intelligence for real-time decision-making and strategic planning."
Public Information Compilation for Travel  Threat Analysis (Dataminr),"The Public Information Compilation for Travel Threat Analysis tool, developed by Dataminr, streamlines the process of gathering open-source information related to national security and border safety for users. It aids CBP employees in quickly identifying potential threats related to air, sea, and land travel by providing organized, publicly available information, which they further research for verification."
Anomaly Detection in Non-Intrusive Inspection,"The project focuses on developing a model for anomaly detection in non-intrusive inspection systems, aiming to identify irregularities that may signal concealed contraband or threats. This approach enhances security by pinpointing specific areas within scanned images that require further scrutiny while minimizing the overall review time."
Advanced Analytics for X-ray Images (AAXI),"The Advanced Analytics for X-ray Images (AAXI) project focuses on improving anomaly detection in empty commercial vehicles at U.S. land border ports. By utilizing AI models that analyze past X-ray images, AAXI enables the identification of anomalies in vehicles entering the country, enhancing human capability to detect suspicious items and increasing clearance rates for compliant vehicles. The system produces bounding boxes around unidentified or anomalous objects in X-ray images for further investigation."
Automated Data Annotation,"The Automated Data Annotation system is designed to manage and process large volumes of raw data for AI/ML applications, specifically tailored to support CBP missions. Its primary function is to generate high-quality, domain-specific training datasets in JSON format, complete with metadata for annotation metrics and quality insights, thereby improving the accuracy and confidence in model development."
AI Enabled Autonomous Underwater Vehicle,"The AI Enabled Autonomous Underwater Vehicle project aims to enhance the Customs and Border Patrol's capabilities by utilizing a small submarine drone to autonomously detect potential contraband or safety risks in vessels entering and exiting ports. This system is designed to provide real-time indicators of suspected anomalies, improving situational awareness and mission planning while ensuring the safety of agents and officers. Additionally, the drone's autonomous navigation capabilities enable it to navigate obstacles and currents effectively, further optimizing operations."
Relocatable Multi-Sensor System,"The Relocatable Multi-Sensor System utilizes advanced sensor technology to accurately identify valid items of interest, such as unmanned aircraft systems and humans, while filtering out false alarms from environmental objects. By combining radar and sensor data, the system enhances situational awareness for CBP personnel, improving operational efficiency at border and security checkpoints. Its real-time outputs support informed decision-making and allow for a focused response to legitimate risks."
AI/LLM to generate testable synthetic data,"This project leverages AI to generate realistic test data for trade partners, addressing existing issues where test data does not accurately reflect production data. By providing more accurate synthetic data, the initiative aims to reduce testing times and expedite the delivery of enhancements and capabilities. The AI-generated test data will avoid including personally identifiable information (PII) or other sensitive trade information, ensuring compliance and security."
Anomaly Detection COV Structure,"The Anomaly Detection COV Structure is an AI algorithm designed to assist CBP officers in analyzing large-scale Non-Intrusive Inspection (NII) x-ray images by identifying regions of interest and detecting anomalies within Commercially Owned Vehicles (COV). This solution aims to enhance the review process by providing bounding boxes around unidentified objects, ultimately reducing the time required for NII image adjudication."
Anomaly Detection Homogenous Cargo,"Anomaly Detection Homogenous Cargo is an AI algorithm designed to help CBP officers analyze Non-intrusive Inspection (NII) x-ray images by identifying anomalies in homogenous cargo within commercially owned vehicles. This solution aids CBP image analysts by highlighting unidentifiable objects with bounding boxes, ultimately reducing the overall review time for NII images."
Anomaly Detection POV Structure,"The Anomaly Detection POV Structure project develops an AI algorithm to aid CBP officers in analyzing Non-Intrusive Inspection (NII) x-ray images of Privately Owned Vehicles (POVs). This solution identifies regions of interest and detects anomalies, streamlining the review process and reducing overall adjudication time while promoting legitimate trade and travel. The algorithm marks anomalies with bounding boxes to highlight unidentifiable objects within the images."
CBP Careers Bot - Leo,"The CBP Careers Bot, named Leo, is a decision-tree based chatbot designed to assist visitors on the U.S. Customs and Border Protection careers website. It aims to provide users with important career-related information and guide them towards actions like contacting a recruiter or applying for a job. By incorporating Natural Language Processing (NLP), the bot enhances user interactions with more natural and accurate responses."
Computer Vision for Aerial Detection of Land and Open Water Items of Interest,"The project focuses on developing computer vision technology for the automated detection, classification, and tracking of maritime threats, enhancing cross-border security efforts. It will equip system operators with real-time alerts and tracking information through a user-friendly workstation interface."
AI for Software Delivery,"The project seeks to integrate AI into the software development process to enhance code review efficiency within the continuous integration pipeline. By identifying potential problems and inefficiencies in code modifications, the AI aims to reduce review time and improve initial software quality. The AI model will help developers by identifying coding errors, recommending fixes, and suggesting improvements, while the request reviewer will make the final determination on code approval."
Optical Counter - UAS Detection,"The Optical Counter - UAS Detection project aims to enhance border surveillance by automating the detection, classification, and tracking of air and ground threats. It will provide system operators with real-time alerts and tracking information through a user-friendly workstation interface."
